sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_rejected,violation_score,feasible
mild_heat|mild_heat|mild_heat|mild_heat,2581.7052024000004,10364.53808,0.25108800000000003,0.0,0.12021600000000002,10330.964,10344.617279129601,10310.85008,10324.438202470397,10292.276,10312.4137765376,10057.276,10181.02048384,5327.890484512942,6434.092560293946,8572.831793350286,10211.9566048,0.17608800000000002,0.0,0.0,176088.00000000003,False
mild_heat|mild_heat|mild_heat|scheduled_heat,1264.1189758400003,10367.79184,0.12021600000000002,0.0,0.055128,10331.511999999999,10345.584337100801,10306.927839999998,10322.572264499198,10068.287999999999,10212.1018126848,53.672,4930.287831767245,3536.1993018916723,4660.394755486892,7225.205789587896,6148.9655516863995,0.04521600000000002,0.0,0.0,45216.00000000002,False
mild_heat|mild_heat|mild_heat|extra_heat,992.3419972800002,10762.85456,0.07809600000000001,0.24000000000000002,0.26544480000000004,10714.73456,10729.645031290882,10083.818560000002,10443.926204723199,687.1345600000001,8205.279811640321,680.8480000000001,3690.986890183475,2965.235213345312,3987.358221365814,6543.2831751839485,4443.521612729344,0.0030960000000000154,0.0,0.0,3096.0000000000155,False
mild_heat|mild_heat|mild_heat|protect,6392.284856800001,10366.25264,0.6290319999999999,0.0,0.25108800000000003,10335.956,10348.664551116803,10320.30464,10331.549382963203,10301.552000000001,10319.194552140802,10290.008000000002,10304.054718464004,8522.110894757485,9042.012609790138,9867.626418238235,10307.566398080002,0.554032,0.0,0.0,554032.0,False
mild_heat|mild_heat|scheduled_heat|mild_heat,1264.1189758400003,10367.79184,0.12021600000000002,0.0,0.055128,10331.511999999999,10345.584337100801,10306.927839999998,10322.572264499198,10068.287999999999,10212.1018126848,53.672,4930.287831767245,3536.1993018916723,4660.394755486892,7225.205789587896,6148.9655516863995,0.04521600000000002,0.0,0.0,45216.00000000002,False
mild_heat|mild_heat|scheduled_heat|scheduled_heat,990.3390275200003,10761.0456,0.07809600000000001,0.24000000000000002,0.26544480000000004,10713.1656,10728.0049202688,10083.0056,10442.744098303998,685.5656,8204.0809528832,678.08,3688.840121341952,2963.372472209438,3985.552226099359,6541.616479383635,4441.53015167744,0.0030960000000000154,0.0,0.0,3096.0000000000155,False
mild_heat|mild_heat|scheduled_heat|extra_heat,552.7241326400001,10766.108320000001,0.03348,0.24000000000000002,0.25264032000000003,10350.65632,10659.63132046336,699.32832,7154.5164407808015,695.256,3926.328474983425,695.256,1987.6849899933702,1756.248317599212,2483.8875316747653,4564.138431120893,2310.7922374917125,0.0,0.0,0.0,0.0,True
mild_heat|mild_heat|scheduled_heat|protect,2597.6114960000004,10369.5064,0.25108800000000003,0.0,0.17433600000000005,10336.504,10349.631609088001,10316.3824,10329.683444992,10300.1224,10317.902756684802,10063.380000000001,10234.225286784002,5351.364973259736,6458.407876783227,8593.745869580107,10276.936608480002,0.17608800000000002,0.0,0.0,176088.00000000003,False
mild_heat|mild_heat|extra_heat|mild_heat,992.3419972800002,10762.85456,0.07809600000000001,0.24000000000000002,0.26544480000000004,10714.73456,10729.645031290882,10083.818560000002,10443.926204723199,687.1345600000001,8205.279811640321,680.8480000000001,3690.986890183475,2965.235213345312,3987.358221365814,6543.2831751839485,4443.521612729344,0.0030960000000000154,0.0,0.0,3096.0000000000155,False
mild_heat|mild_heat|extra_heat|scheduled_heat,552.7241326400001,10766.108320000001,0.03348,0.24000000000000002,0.25264032000000003,10350.65632,10659.63132046336,699.32832,7154.5164407808015,695.256,3926.328474983425,695.256,1987.6849899933702,1756.248317599212,2483.8875316747653,4564.138431120893,2310.7922374917125,0.0,0.0,0.0,0.0,True
